subset_settings,BytedTsinghua-SIA/DAPO-Qwen-32B,Qwen/QwQ-32B,open-thoughts/OpenThinker-7B,openai/gpt-oss-20b-high,openai/gpt-oss-20b-low,openai/gpt-oss-20b-medium,Consistency Rate
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.49,0.22,0.12
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'original')",0.0,0.4,0.25,0.41,0.49,0.48,0.15
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.49,0.35,0.14
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.44,0.35,0.165
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2')",0.0,0.4,0.25,0.0,0.4,0.0,0.2
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.25,0.0,0.4,0.44,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.0,0.4,0.43,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.4,0.22,0.14
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'original')",0.0,0.4,0.25,0.0,0.4,0.48,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.4,0.35,0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.25,0.0,0.41,0.0,0.21
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.25,0.0,0.41,0.44,0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.0,0.41,0.43,0.19
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.41,0.22,0.15
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.25,0.0,0.41,0.48,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.41,0.35,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.25,0.0,0.38,0.0,0.19
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.25,0.0,0.38,0.44,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.0,0.38,0.43,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.38,0.22,0.13
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.25,0.0,0.38,0.48,0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.38,0.35,0.16
"('Empty Thought', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.45,0.22,0.18333333333333335
"('Empty Thought', 'Empty Thought', 'original')",0.0,0.4,0.25,0.47,0.4633333333333334,0.48,0.22800000000000004
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought')",0.0,0.4000000000000001,0.25,0.47,0.47,0.44,0.19999999999999998
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.25,0.47,0.45,0.44,0.19
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.45,0.43,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.45,0.22,0.15
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'original')",0.0,0.4,0.25,0.47,0.45,0.48,0.19
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.45,0.35,0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1')",0.0,0.4000000000000001,0.25,0.47,0.46499999999999997,0.43,0.18000000000000002
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.25,0.47,0.44,0.44,0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.44,0.43,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.44,0.22,0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'original')",0.0,0.4,0.25,0.47,0.44,0.48,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.44,0.35,0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2')",0.0,0.4,0.25,0.47,0.4,0.0,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.25,0.47,0.4,0.44,0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.4,0.43,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.4,0.22,0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'original')",0.0,0.4,0.25,0.47,0.4,0.48,0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.4,0.35,0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.25,0.47,0.41,0.0,0.19
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.25,0.47,0.41,0.44,0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.41,0.43,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.41,0.22,0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.25,0.47,0.41,0.48,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.41,0.35,0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.25,0.47,0.38,0.0,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.25,0.47,0.38,0.44,0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.38,0.43,0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.38,0.22,0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.25,0.47,0.38,0.48,0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.38,0.35,0.16
"('Empty Thought', 'Empty Thought', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.22,0.14500000000000002
"('Empty Thought', 'Empty Thought', 'original', 'original')",0.0,0.4000000000000001,0.25,0.47,0.49,0.48,0.18666666666666668
"('Empty Thought', 'Empty Thought', 'original', 'original', 'Empty Thought')",0.0,0.4,0.25,0.47,0.49,0.44,0.19
"('Empty Thought', 'Empty Thought', 'original', 'original', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.49,0.43,0.17
"('Empty Thought', 'Empty Thought', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.22,0.14
"('Empty Thought', 'Empty Thought', 'original', 'original', 'original')",0.0,0.4,0.25,0.47,0.49,0.48,0.17
"('Empty Thought', 'Empty Thought', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.35,0.15
"('Empty Thought', 'Empty Thought', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.35,0.155
"('Empty Thought', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.45,0.3499999999999999,0.22
"('Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.2825,0.41,0.44333333333333336,0.43,0.3475
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.302,0.41,0.446,0.44000000000000006,0.23500000000000001
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.315,0.41,0.45,0.44,0.21666666666666667
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.45,0.43,0.24
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.45,0.22,0.15333333333333335
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.0,0.4,0.315,0.41,0.45,0.48,0.21333333333333335
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.45,0.3499999999999999,0.20666666666666667
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4000000000000001,0.315,0.41,0.44000000000000006,0.43,0.2977777777777778
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.34750000000000003,0.41,0.4425,0.44,0.22999999999999998
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.38,0.41,0.45,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.45,0.43,0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.45,0.22,0.15
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.0,0.4,0.38,0.41,0.45,0.48,0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.45,0.35,0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4,0.34750000000000003,0.41,0.44,0.43,0.27999999999999997
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.38,0.41,0.44,0.44,0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.44,0.43,0.27
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.44,0.22,0.16
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.0,0.4,0.38,0.41,0.44,0.48,0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.44,0.35,0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.0,0.4,0.38,0.41,0.4,0.0,0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.38,0.41,0.4,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.4,0.43,0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.4,0.22,0.15
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.0,0.4,0.38,0.41,0.4,0.48,0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.4,0.35,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.38,0.41,0.41,0.0,0.28
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.38,0.41,0.41,0.44,0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.41,0.43,0.27
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.41,0.22,0.16
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.38,0.41,0.41,0.48,0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.41,0.35,0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.38,0.41,0.38,0.0,0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.38,0.41,0.38,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.38,0.43,0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.38,0.22,0.15
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.38,0.41,0.38,0.48,0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.38,0.35,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4000000000000001,0.33666666666666667,0.41,0.44,0.22,0.1675
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.0,0.4,0.34750000000000003,0.41,0.4525,0.48,0.21600000000000003
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.0,0.4,0.38,0.41,0.49,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.49,0.43,0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.49,0.22,0.14
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'original')",0.0,0.4,0.38,0.41,0.49,0.48,0.2
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.49,0.35,0.2
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4000000000000001,0.33666666666666667,0.41,0.44,0.35,0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.0,0.4,0.315,0.41,0.4000000000000001,0.0,0.26666666666666666
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.315,0.41,0.4000000000000001,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.4000000000000001,0.43,0.25666666666666665
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.4000000000000001,0.22,0.16333333333333333
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.0,0.4,0.315,0.41,0.4000000000000001,0.48,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.4000000000000001,0.3499999999999999,0.22333333333333336
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.315,0.41,0.41,0.0,0.30333333333333334
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.315,0.41,0.41,0.44,0.22666666666666668
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.41,0.43,0.2866666666666667
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.41,0.22,0.17333333333333334
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.315,0.41,0.41,0.48,0.21333333333333335
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.41,0.3499999999999999,0.2333333333333333
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.315,0.41,0.38000000000000006,0.0,0.25666666666666665
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.315,0.41,0.38000000000000006,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.38000000000000006,0.43,0.25333333333333335
