original_row,original_col,group,model,criterion,value
11,"orange-model-668 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
11,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
11,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
11,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
11,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
12,"orange-model-185 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,4.0
12,"orange-model-71 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
12,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,3.0
12,"orange-model-694 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
12,"orange-model-366 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,2.0
13,"orange-model-614 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
13,"orange-model-79 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
13,"orange-model-87 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
13,"orange-model-89 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,5.0
13,"orange-model-371 - Clarity of Steps: The reasoning steps were clear and well explained. (1 = Very unclear, 5 = Very clear)",orange-model_Clarity_of_Steps,orange-model,Clarity of Steps,1.0
0,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
0,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
0,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
0,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
0,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
1,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
1,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
1,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
1,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
1,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
2,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
2,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
2,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
2,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
2,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
3,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
3,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
3,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
3,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
3,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
4,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
4,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
4,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
4,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
4,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
5,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
5,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
5,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
5,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
5,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
6,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
6,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
6,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
6,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
6,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
7,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
7,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
7,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
7,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
7,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
8,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
8,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
8,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
8,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
8,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
9,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
9,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
9,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
9,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
9,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
10,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
10,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
10,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
10,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
10,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
11,"orange-model-668 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
11,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
11,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
11,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
11,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
12,"orange-model-185 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,4.0
12,"orange-model-71 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
12,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,3.0
12,"orange-model-694 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
12,"orange-model-366 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,2.0
13,"orange-model-614 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
13,"orange-model-79 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
13,"orange-model-87 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
13,"orange-model-89 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,5.0
13,"orange-model-371 - Ease of Following: The answer follows clearly from the reasoning steps. (1 = Very difficult, 5 = Very easy)",orange-model_Ease_of_Following,orange-model,Ease of Following,1.0
0,"orange-model-79 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
0,"orange-model-87 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
0,"orange-model-89 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
0,"orange-model-366 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,1.0
0,"orange-model-371 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
1,"orange-model-71 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
1,"orange-model-668 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,1.0
1,"orange-model-694 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,1.0
1,"orange-model-89 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,3.0
1,"orange-model-371 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,1.0
2,"orange-model-185 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
2,"orange-model-71 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
2,"orange-model-79 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,3.0
2,"orange-model-89 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
2,"orange-model-366 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,3.0
3,"orange-model-185 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,2.0
3,"orange-model-71 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,4.0
3,"orange-model-79 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,4.0
3,"orange-model-694 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,1.0
3,"orange-model-89 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,5.0
4,"orange-model-185 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,5.0
4,"orange-model-79 - Confidence: After reading, I feel confident I understood the reasoning. (1 = Not confident at all, 5 = Very confident)",orange-model_Confidence,orange-model,Confidence,5.0
