Row Number,Answers,LLM Names,Most Common Answer,Consistency Score,Ground Truth Answer,Is Correct?
378,"['136', '136', '136']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",136,1.0,139.6,True
766,"['0.15', '0.15', '0.15']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",0.15,1.0,0,False
790,"['18.95', '18.95', '18.95']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",18.95,1.0,28.95,False
615,"['462', '462', '462']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",462,1.0,461.339,True
366,"['134', '134', '134']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",134,1.0,133.28,True
784,"['65.75', '65.75', '65.75']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",65.75,1.0,13.25,False
933,"['11/10/2012', '11/10/2012', '11/10/2012']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",11/10/2012,1.0,11/09/2012,False
245,"['2', '2', '2']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",2,1.0,2,True
844,"['3', '3', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",3,0.667,95,False
389,"['1', '1', '1']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",1,1.0,2,False
825,"['5.71', '5.71', '5.71']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",5.71,1.0,0.25,False
452,"['3', '3', '3']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",3,1.0,3,True
60,"['3', '3', '3']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",3,1.0,4,False
291,"['0.66', '0.66', '0.66']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",0.66,1.0,0.169,False
71,"['126', '126', '126']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",126,1.0,126,True
345,"['4', '4', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",4,0.667,5,False
185,"['497', '497', '497']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",497,1.0,496.929,True
142,"['3.6', '3.62', '3.62']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",3.62,0.667,3.654,True
979,"['38.9', '38.9', '38.9']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",38.9,1.0,38.896,True
491,"['40', '40', '40']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",40,1.0,39.2,True
661,"['281', '281', '281']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",281,1.0,494.231,False
102,"['8.56', '8.56', '8.56']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",8.56,1.0,8.56,True
747,"['0', '0', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",0,0.667,-4,False
550,"['0', '0', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",0,0.667,0,True
307,"['3', '3', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",3,0.667,2,False
585,"['4', '4', '4']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",4,1.0,3,False
322,"['1', ""name 'N' is not defined"", '5']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",1,0.333,9.2,False
855,"['5', '5', '5']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",5,1.0,6,False
908,"['6', '6', '6']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",6,1.0,6,True
679,"['280', '280', '280']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",280,1.0,364.833,False
651,"['330.1', '330.1', '330.1']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",330.1,1.0,506.501,False
77,"['64', '64', '64']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",64,1.0,64.333,True
193,"['362', '362', '362']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",362,1.0,361.569,True
87,"['22.11', '22.11', '22.11']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",22.11,1.0,22.112,True
458,"['1', '1', '1']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",1,1.0,1,True
1042,"['(29, 3)', '(29, 3)', '(29, 3)']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']","(29, 3)",1.0,"('29 weeks', '3 days')",True
742,"['18', '18', '18']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",18,1.0,18,True
904,"['9', '9', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",9,0.667,4,False
310,"['2', '2', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",2,0.667,1,False
741,"['1', '1', '1']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",1,1.0,1,True
870,"['19', '19', '19']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",19,1.0,41,False
360,"['5', '5', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",5,0.667,4,False
614,"['467', '467', '467']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",467,1.0,466.934,True
50,"['0', '0', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",0,0.667,0,True
200,"['9', '9', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",9,0.667,8,False
596,"['1', '2', '2']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",2,0.667,2,True
966,"['38.134', '38.134', '38.134']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",38.134,1.0,38.134,True
952,"['229.01', '229.01', '229.01']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",229.01,1.0,183.162,False
991,"['6657', '6840', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",6657,0.333,451.8,False
548,"['1', '1', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",1,0.667,1,True
1004,"['58', '58', '58']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",58,1.0,362,False
11,"['989', '0', '989']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",989,0.667,12.949,False
515,"['10', ""name 'N' is not defined"", '10']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",10,0.667,34.4,False
668,"['330.06', '330.06', '330.06']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",330.06,1.0,469.333,False
934,"['02/27/2021', '02/27/2021', ""time data 'N/A' does not match format '%m/%d/%Y'""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",02/27/2021,0.667,02/24/2021,False
414,"['307', '307', '307']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",307,1.0,303.028,True
852,"['8', '8', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",8,0.667,10,False
634,"['511', '511', '511']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",511,1.0,419.782,False
940,"['01/13/2022', ""time data 'N/A' does not match format '%m/%d/%Y'"", '01/13/2022']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",01/13/2022,0.667,01/17/2022,False
371,"['134.8', '134.8', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",134.8,0.667,139.696,True
410,"['323.2', '323.2', '323.2']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",323.2,1.0,323.197,True
446,"['12', '12', '12']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",12,1.0,11,False
334,"['70', '70', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",70,0.667,78.1,False
942,"['12/31/2017', '12/31/2017', '12/31/2017']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",12/31/2017,1.0,12/31/2017,True
211,"['8', '8', '8']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",8,1.0,8,True
1016,"[""time data 'N/A' does not match format '%m/%d/%Y'"", ""time data 'N/A' does not match format '%m/%d/%Y'"", ""time data 'N/A' does not match format '%m/%d/%Y'""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",time data 'N/A' does not match format '%m/%d/%Y',1.0,10/25/2020,False
520,"['72', '72', '72']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",72,1.0,169.2,False
89,"['20.0', '20.0', '20.0']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",20.0,1.0,19.976,True
731,"['7.6', '7.6', '7.6']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",7.6,1.0,0,False
351,"['5', '5', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",5,0.667,4,False
219,"['8', '8', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",8,0.667,9,False
629,"['383', '383', '383']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",383,1.0,369.886,True
278,"['4', '4', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",4,0.667,5,False
694,"['1.15', '1.15', '1.15']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",1.15,1.0,1.155,True
897,"['11', '11', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",11,0.667,10,False
214,"['10', '10', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",10,0.667,6,False
97,"['18.1', '18.1', '18.1']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",18.1,1.0,18.08,True
79,"['92', '92', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",92,0.667,91.667,True
701,"['2.19', '2.19', '2.19']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",2.19,1.0,2.186,True
137,"['-2', '-2', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",-2,0.667,1.5,False
209,"['11', '11', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",11,0.667,9,False
558,"['0.22', '24', ""name 'N' is not defined""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",0.22,0.333,0.1,False
358,"['3', '3', '3']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",3,1.0,3,True
789,"['7', '7', '7']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",7,1.0,2,False
1017,"['09/04/2014', '09/04/2014', ""time data 'N/A' does not match format '%m/%d/%Y'""]","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",09/04/2014,0.667,09/05/2014,False
261,"['6', '6', '6']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']",6,1.0,5,False
1044,"['(1, 0)', '(36, 3)', '(36, 3)']","['Qwen/QwQ-32B', 'BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B']","(36, 3)",0.667,"('36 weeks', '3 days')",True
