subset_settings,Consistency Rate
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.15
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.15
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original')",0.16666666666666666
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.16
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.12
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'original')",0.15
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.14
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.165
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2')",0.2
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'Empty Thought')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'original')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1')",0.21
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.17
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.19
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'original')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2')",0.19
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'original')",0.18
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.18333333333333335
"('Empty Thought', 'Empty Thought', 'original')",0.22800000000000004
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought')",0.19999999999999998
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'Empty Thought')",0.19
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'original')",0.19
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1')",0.18000000000000002
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'original')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'original')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1')",0.19
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.18
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.13
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.16
"('Empty Thought', 'Empty Thought', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14500000000000002
"('Empty Thought', 'Empty Thought', 'original', 'original')",0.18666666666666668
"('Empty Thought', 'Empty Thought', 'original', 'original', 'Empty Thought')",0.19
"('Empty Thought', 'Empty Thought', 'original', 'original', 'Ensembled Thought V1')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14
"('Empty Thought', 'Empty Thought', 'original', 'original', 'original')",0.17
"('Empty Thought', 'Empty Thought', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.15
"('Empty Thought', 'Empty Thought', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.155
"('Empty Thought', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V1')",0.3475
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought')",0.23500000000000001
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.21666666666666667
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15333333333333335
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.21333333333333335
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.20666666666666667
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.2977777777777778
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.22999999999999998
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.27999999999999997
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.27
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.28
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.27
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.1675
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.21600000000000003
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'original')",0.2
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.2
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.26666666666666666
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.25666666666666665
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16333333333333333
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22333333333333336
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.30333333333333334
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.22666666666666668
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.2866666666666667
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17333333333333334
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.21333333333333335
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.2333333333333333
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.25666666666666665
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.25333333333333335
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.21666666666666667
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.186
"('Empty Thought', 'Ensembled Thought V1', 'original')",0.23111111111111113
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.22999999999999998
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'Empty Thought')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'original')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.238
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1', 'original')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V2')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V2', 'original')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V1')",0.26
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.17
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V2')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.24
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.25
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15000000000000002
"('Empty Thought', 'Ensembled Thought V1', 'original', 'original')",0.21400000000000002
"('Empty Thought', 'Ensembled Thought V1', 'original', 'original', 'Empty Thought')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'original', 'Ensembled Thought V1')",0.23
"('Empty Thought', 'Ensembled Thought V1', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.14
"('Empty Thought', 'Ensembled Thought V1', 'original', 'original', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.21
"('Empty Thought', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.20750000000000002
"('Empty Thought', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.248
"('Empty Thought', 'Ensembled Thought V2')",0.3566666666666667
"('Empty Thought', 'Ensembled Thought V2', 'Empty Thought')",0.255
"('Empty Thought', 'Ensembled Thought V2', 'Empty Thought', 'Empty Thought')",0.24
"('Empty Thought', 'Ensembled Thought V2', 'Empty Thought', 'Ensembled Thought V1')",0.26
"('Empty Thought', 'Ensembled Thought V2', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V2', 'Empty Thought', 'original')",0.23
"('Empty Thought', 'Ensembled Thought V2', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.29
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Empty Thought')",0.24
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.24
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.21
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.28
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.23
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.27
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.23
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.24
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.22
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.24
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.15
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.22
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.28
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.23
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.27
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.16
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.21
"('Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.23
