subset_settings,BytedTsinghua-SIA/DAPO-Qwen-32B,Qwen/QwQ-32B,open-thoughts/OpenThinker-7B,openai/gpt-oss-20b-high,openai/gpt-oss-20b-low,openai/gpt-oss-20b-medium
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.41,0.38,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.38,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.25,0.41,0.38,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.38,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.44,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original')",0.0,0.4000000000000001,0.25,0.41,0.46499999999999997,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.0,0.4,0.25,0.41,0.49,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.0,0.4,0.25,0.41,0.49,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.49,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'original')",0.0,0.4,0.25,0.41,0.49,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.49,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.41,0.44,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2')",0.0,0.4,0.25,0.0,0.4,0.0
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.25,0.0,0.4,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.0,0.4,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.4,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'original')",0.0,0.4,0.25,0.0,0.4,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.4,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.25,0.0,0.41,0.0
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.25,0.0,0.41,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.0,0.41,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.41,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.25,0.0,0.41,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.41,0.35
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.25,0.0,0.38,0.0
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.25,0.0,0.38,0.44
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.0,0.38,0.43
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.38,0.22
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.25,0.0,0.38,0.48
"('Empty Thought', 'Empty Thought', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.38,0.35
"('Empty Thought', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.45,0.22
"('Empty Thought', 'Empty Thought', 'original')",0.0,0.4,0.25,0.47,0.4633333333333334,0.48
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought')",0.0,0.4000000000000001,0.25,0.47,0.47,0.44
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.25,0.47,0.45,0.44
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.45,0.43
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.45,0.22
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'original')",0.0,0.4,0.25,0.47,0.45,0.48
"('Empty Thought', 'Empty Thought', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.45,0.35
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1')",0.0,0.4000000000000001,0.25,0.47,0.46499999999999997,0.43
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.25,0.47,0.44,0.44
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.44,0.43
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.44,0.22
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'original')",0.0,0.4,0.25,0.47,0.44,0.48
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.44,0.35
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2')",0.0,0.4,0.25,0.47,0.4,0.0
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.25,0.47,0.4,0.44
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.4,0.43
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.4,0.22
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'original')",0.0,0.4,0.25,0.47,0.4,0.48
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.4,0.35
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.25,0.47,0.41,0.0
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.25,0.47,0.41,0.44
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.41,0.43
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.41,0.22
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.25,0.47,0.41,0.48
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.41,0.35
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.25,0.47,0.38,0.0
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.25,0.47,0.38,0.44
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.38,0.43
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.38,0.22
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.25,0.47,0.38,0.48
"('Empty Thought', 'Empty Thought', 'original', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.38,0.35
"('Empty Thought', 'Empty Thought', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.22
"('Empty Thought', 'Empty Thought', 'original', 'original')",0.0,0.4000000000000001,0.25,0.47,0.49,0.48
"('Empty Thought', 'Empty Thought', 'original', 'original', 'Empty Thought')",0.0,0.4,0.25,0.47,0.49,0.44
"('Empty Thought', 'Empty Thought', 'original', 'original', 'Ensembled Thought V1')",0.0,0.4,0.25,0.47,0.49,0.43
"('Empty Thought', 'Empty Thought', 'original', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.22
"('Empty Thought', 'Empty Thought', 'original', 'original', 'original')",0.0,0.4,0.25,0.47,0.49,0.48
"('Empty Thought', 'Empty Thought', 'original', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.35
"('Empty Thought', 'Empty Thought', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.47,0.49,0.35
"('Empty Thought', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.25,0.0,0.45,0.3499999999999999
"('Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.2825,0.41,0.44333333333333336,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.302,0.41,0.446,0.44000000000000006
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.315,0.41,0.45,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.45,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.45,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.0,0.4,0.315,0.41,0.45,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.45,0.3499999999999999
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4000000000000001,0.315,0.41,0.44000000000000006,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.34750000000000003,0.41,0.4425,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.38,0.41,0.45,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.45,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.45,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'original')",0.0,0.4,0.38,0.41,0.45,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.45,0.35
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4,0.34750000000000003,0.41,0.44,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Empty Thought')",0.0,0.4,0.38,0.41,0.44,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.44,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.0,0.4,0.38,0.41,0.44,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.44,0.35
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.0,0.4,0.38,0.41,0.4,0.0
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.38,0.41,0.4,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.4,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.4,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.0,0.4,0.38,0.41,0.4,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.4,0.35
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.38,0.41,0.41,0.0
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.38,0.41,0.41,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.41,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.41,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.38,0.41,0.41,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.41,0.35
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.38,0.41,0.38,0.0
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.38,0.41,0.38,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.38,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.38,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.38,0.41,0.38,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.38,0.35
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4000000000000001,0.33666666666666667,0.41,0.44,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original')",0.0,0.4,0.34750000000000003,0.41,0.4525,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.0,0.4,0.38,0.41,0.49,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'Ensembled Thought V1')",0.0,0.4,0.38,0.41,0.49,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.49,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'original')",0.0,0.4,0.38,0.41,0.49,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'original', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.41,0.49,0.35
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4000000000000001,0.33666666666666667,0.41,0.44,0.35
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2')",0.0,0.4,0.315,0.41,0.4000000000000001,0.0
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Empty Thought')",0.0,0.4,0.315,0.41,0.4000000000000001,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.4000000000000001,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.4000000000000001,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'original')",0.0,0.4,0.315,0.41,0.4000000000000001,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.4000000000000001,0.3499999999999999
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1')",0.0,0.4,0.315,0.41,0.41,0.0
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Empty Thought')",0.0,0.4,0.315,0.41,0.41,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.41,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.41,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'original')",0.0,0.4,0.315,0.41,0.41,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V1', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.41,0.3499999999999999
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2')",0.0,0.4,0.315,0.41,0.38000000000000006,0.0
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Empty Thought')",0.0,0.4,0.315,0.41,0.38000000000000006,0.44
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'Ensembled Thought V1')",0.0,0.4,0.315,0.41,0.38000000000000006,0.43
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.38000000000000006,0.22
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'original')",0.0,0.4,0.315,0.41,0.38000000000000006,0.48
"('Empty Thought', 'Ensembled Thought V1', 'Ensembled Thought Without Answer V2', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.315,0.41,0.38000000000000006,0.3499999999999999
"('Empty Thought', 'Ensembled Thought V1', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4000000000000001,0.29333333333333333,0.41,0.44,0.22000000000000003
"('Empty Thought', 'Ensembled Thought V1', 'original')",0.0,0.4000000000000001,0.315,0.422,0.47000000000000003,0.48
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought')",0.0,0.4,0.34750000000000003,0.43999999999999995,0.48,0.44
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'Empty Thought')",0.0,0.4,0.38,0.47,0.45,0.44
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'Ensembled Thought V1')",0.0,0.4,0.38,0.47,0.45,0.43
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'open-thoughts_openthinker-7bComplete Thought Transfer')",0.0,0.4,0.38,0.47,0.45,0.22
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'original')",0.0,0.4,0.38,0.47,0.45,0.48
"('Empty Thought', 'Ensembled Thought V1', 'original', 'Empty Thought', 'qwen_qwq-32bComplete Thought Transfer')",0.0,0.4,0.38,0.47,0.45,0.35
