Row Number,Answers,LLM Names,Most Common Answer,Consistency Score,Ground Truth Answer,Is Correct?
766,"['0.2', '1.26', '0.67']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",0.2,0.333,0,False
790,"['Empty', '18.4', '22.2']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",Empty,0.333,28.95,False
615,"['462', '460', '460']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",460,0.667,461.339,True
366,"['134', '134', '134']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",134,1.0,133.28,True
784,"['13', '13', '13']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",13,1.0,13.25,True
933,"['11/10/2012', 'Empty', '11/11/2012']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",11/10/2012,0.333,11/09/2012,False
245,"['2', 'Empty', '1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",2,0.333,2,True
844,"['89', 'Empty', '86']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",89,0.333,95,False
389,"['6', '6', '6']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",6,1.0,2,False
825,"['Empty', '9.96', '9.96']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",9.96,0.667,0.25,False
452,"['3', '2', '2']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",2,0.667,3,False
60,"['4', '5', '1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",4,0.333,4,True
291,"['0.0006', '0.0', '0.00017']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",0.0006,0.333,0.169,False
71,"['126', '126', '126']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",126,1.0,126,True
345,"['5', '5', '5']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",5,1.0,5,True
185,"['497', '497', '497']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",497,1.0,496.929,True
142,"['3.54', '3.6', '3.6']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",3.6,0.667,3.654,True
979,"['38.9', '38.9', '38.9']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",38.9,1.0,38.896,True
491,"['40', '45.5', '40']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",40,0.667,39.2,True
661,"['344', '495', '495']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",495,0.667,494.231,True
102,"['8.56', '8.56', '8.56']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",8.56,1.0,8.56,True
747,"['-7.14', 'Empty', '-7.14']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",-7.14,0.667,-4,False
550,"['0', '0', '0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",0,1.0,0,True
307,"['1', '1', '2']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",1,0.667,2,False
585,"['0', '0', '0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",0,1.0,3,False
322,"['88', '88', '88']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",88,1.0,9.2,False
855,"['6', '6', '6']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",6,1.0,6,True
908,"['8', '7', '7']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",7,0.667,6,False
679,"['379', '379', '379']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",379,1.0,364.833,True
651,"['507', 'Empty', '507']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",507,0.667,506.501,True
77,"['64.33', '64.33', '64.3']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",64.33,0.667,64.333,True
193,"['362', '362', '362']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",362,1.0,361.569,True
87,"['2.7225', '22.1', '22.1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",22.1,0.667,22.112,True
458,"['4', '5', '5']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",5,0.667,1,False
1042,"['(29, 3)', '(29, 3)', '(0, 7)']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']","(29, 3)",0.667,"('29 weeks', '3 days')",True
742,"['3', '3', '3']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",3,1.0,18,False
904,"['7', '6', '2']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",7,0.333,4,False
310,"['1', '1', '0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",1,0.667,1,True
741,"['1', '1', '1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",1,1.0,1,True
870,"['18', '24', '24']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",24,0.667,41,False
360,"['4', '4', '4']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",4,1.0,4,True
614,"['467', '469', '469']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",469,0.667,466.934,True
50,"['0', '0', '0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",0,1.0,0,True
200,"['10', '10', '9']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",10,0.667,8,False
596,"['1', '1', '1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",1,1.0,2,False
966,"['152.535', '152.535', '38.13']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",152.535,0.667,38.134,False
952,"['0.8', '36.6', '366.4']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",0.8,0.333,183.162,False
991,"['12240', '9080', '66240']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",12240,0.333,451.8,False
548,"['1', '0', '1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",1,0.667,1,True
1004,"['59', 'Empty', '12052']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",59,0.333,362,False
11,"['16.9', 'Empty', '11.7']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",16.9,0.333,12.949,False
515,"['10', '10', '10']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",10,1.0,34.4,False
668,"['497', '0', '497']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",497,0.667,469.333,False
934,"['02/27/2021', '02/24/2021', 'Empty']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",02/27/2021,0.333,02/24/2021,False
414,"['313', '313', '313']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",313,1.0,303.028,True
852,"['8', '8', '8']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",8,1.0,10,False
634,"['512', '512', '512']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",512,1.0,419.782,False
940,"['01/17/2022', 'Empty', '01/17/2022']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",01/17/2022,0.667,01/17/2022,True
371,"['139.5', '139.5', '139.5']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",139.5,1.0,139.696,True
410,"['314', '314', '314']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",314,1.0,323.197,True
446,"['9', '12', '12']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",12,0.667,11,False
334,"['71', 'Empty', '71']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",71,0.667,78.1,False
942,"['01/02/2018', '01/02/2018', '01/02/2018']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",01/02/2018,1.0,12/31/2017,False
211,"['8', '9', '9']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",9,0.667,8,False
1016,"['Empty', 'Empty', '10/26/2020']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",Empty,0.667,10/25/2020,False
520,"['72', '72', '72']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",72,1.0,169.2,False
89,"['20.0', '20.0', '20.0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",20.0,1.0,19.976,True
731,"['7.6', '8.8', '8.8']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",8.8,0.667,0,False
351,"['4', '4', '4']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",4,1.0,4,True
219,"['8', '8', '9']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",8,0.667,9,False
629,"['384', '384', '384']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",384,1.0,369.886,True
278,"['5', '4', '5']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",5,0.667,5,True
694,"['1.18', '1.18', '1.18']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",1.18,1.0,1.155,True
897,"['2', '8', '2']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",2,0.667,10,False
214,"['7', '6', '7']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",7,0.667,6,False
97,"['18.08', '18.08', '18.1']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",18.08,0.667,18.08,True
79,"['92', '92', '92']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",92,1.0,91.667,True
701,"['100', '2.12', '2.12']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",2.12,0.667,2.186,True
137,"['0', '0', '0']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",0,1.0,1.5,False
209,"['11', '9', '9']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",9,0.667,9,True
558,"['0.09', '-0.16', '-0.16']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",-0.16,0.667,0.1,False
358,"['3', '2', '2']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",2,0.667,3,False
789,"['-5.5', '-8.0', '-5.5']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",-5.5,0.667,2,False
1017,"['Empty', '09/04/2014', 'Empty']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",Empty,0.667,09/05/2014,False
261,"['4', '4', '4']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']",4,1.0,5,False
1044,"['(36, 4)', '(36, 4)', '(36, 4)']","['BytedTsinghua-SIA/DAPO-Qwen-32B', 'open-thoughts/OpenThinker-7B', 'Qwen/QwQ-32B']","(36, 4)",1.0,"('36 weeks', '3 days')",False
